sample,group,element,species,spin,expected_eV,fitted_eV,stderr_eV,delta_eV,etchlevel,etchtime
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.890000000020542,0.05360797946944721,-0.8099999999794569,1,10.013
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.12291739290611874,0.19999999999999574,2,20.026
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.12291739317013492,0.18999999999999417,2,20.026
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.561053487139027,0.24133915796726546,0.16105348713902856,2,20.026
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.451053487139024,0.24133915796726546,0.15105348713902345,2,20.026
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,24.620336150154063,0.032910714399532755,0.6203361501540634,2,20.026
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,26.51033615015406,0.032910714399532755,0.6103361501540618,2,20.026
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.703714761714306,0.030591568818854633,0.0037147617143062917,2,20.026
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.593714761714303,0.030591568773905974,-0.006285238285698824,2,20.026
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,23.610250852629324,0.030578969322334688,-0.5897491473706751,2,20.026
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,25.50025085262932,0.030578969293868465,-0.5997491473706802,2,20.026
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000004,0.05386325928470902,-0.7999999999999972,2,20.026
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.89,0.05386325928470904,-0.8099999999999987,2,20.026
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.11544286649675534,0.19999999999999574,3,30.038
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.11544286674471681,0.18999999999999417,3,30.038
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.561449012403234,0.24152720282531706,0.16144901240323506,3,30.038
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.45144901240323,0.24152720282531706,0.15144901240322994,3,30.038
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,24.58108586102741,0.032451747645293,0.581085861027411,3,30.038
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,26.471085861027408,0.032451747645293,0.5710858610274094,3,30.038
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.703952582279072,0.030873394874945715,0.003952582279072914,3,30.038
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.59395258227907,0.03087339483225945,-0.006047417720932202,3,30.038
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,23.598660077453395,0.030810309659548972,-0.6013399225466038,3,30.038
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,25.488660077453392,0.030810309703905175,-0.611339922546609,3,30.038
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000004,0.05651516622496581,-0.7999999999999972,3,30.038
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.89,0.056515166224965795,-0.8099999999999987,3,30.038
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.1031689443764268,0.19999999999999574,4,40.051
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.10316894459802493,0.18999999999999417,4,40.051
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.56523531132125,0.23476736133660228,0.16523531132125058,4,40.051
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.455235311321246,0.23476736133660228,0.15523531132124546,4,40.051
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,24.57223239609654,0.032108385242239836,0.5722323960965383,4,40.051
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,26.462232396096535,0.032108385242239836,0.5622323960965367,4,40.051
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.702124659690707,0.031010461050102703,0.002124659690707631,4,40.051
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.592124659690704,0.03101046112545063,-0.007875340309297485,4,40.051
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,23.59674316299785,0.029472149300537317,-0.6032568370021494,4,40.051
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,25.486743162997847,0.029472149230399102,-0.6132568370021545,4,40.051
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000004,0.055689928006547124,-0.7999999999999972,4,40.051
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.89,0.05568992800654713,-0.8099999999999987,4,40.051
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.11380963662544329,0.19999999999999574,5,50.064
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.11380963686989669,0.18999999999999417,5,50.064
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.565889431205516,0.24645467449835531,0.16588943120551747,5,50.064
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.455889431205513,0.24645467449835531,0.15588943120551235,5,50.064
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,24.594790361420504,0.03407238985884533,0.5947903614205039,5,50.064
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,26.4847903614205,0.03407238985884533,0.5847903614205023,5,50.064
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.700000326813775,0.03236078097283912,3.268137760414902e-07,5,50.064
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.590000326813772,0.03236078091480143,-0.009999673186229074,5,50.064
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,23.60538395772364,0.03096870689978458,-0.5946160422763604,5,50.064
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,25.495383957723636,0.030968706945008907,-0.6046160422763656,5,50.064
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000004,0.05505315885192081,-0.7999999999999972,5,50.064
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.89,0.055053158851920796,-0.8099999999999987,5,50.064
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.1060555794670564,0.19999999999999574,6,60.077
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.10605557969485482,0.18999999999999417,6,60.077
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.560969993832845,0.24164265722354922,0.16096999383284682,6,60.077
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.450969993832842,0.24164265722354922,0.1509699938328417,6,60.077
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,24.561989807532097,0.03221829084336671,0.5619898075320968,6,60.077
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,26.451989807532094,0.03221829084336671,0.5519898075320953,6,60.077
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.698151945135432,0.031207834768862686,-0.0018480548645669614,6,60.077
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.58815194513543,0.031207834770144657,-0.011848054864572077,6,60.077
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,23.592914097694873,0.030369684424552137,-0.6070859023051263,6,60.077
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,25.48291409769487,0.030369684433262604,-0.6170859023051314,6,60.077
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000004,0.05534847175387613,-0.7999999999999972,6,60.077
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.89,0.055348471753876125,-0.8099999999999987,6,60.077
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.10777802902687814,0.19999999999999574,7,70.09
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.10777802925837618,0.18999999999999417,7,70.09
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.55905201833437,0.24332941989079102,0.15905201833437133,7,70.09
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.449052018334367,0.24332941989079102,0.1490520183343662,7,70.09
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,24.560027029747083,0.032599267455334265,0.5600270297470828,7,70.09
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,26.45002702974708,0.032599267455334265,0.5500270297470813,7,70.09
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.696834170713977,0.03127519270486309,-0.0031658292860221593,7,70.09
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.586834170713974,0.031275192754286356,-0.013165829286027275,7,70.09
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,23.59124556576096,0.029969046247466002,-0.6087544342390387,7,70.09
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,25.481245565760958,0.02996904620462338,-0.6187544342390439,7,70.09
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000004,0.05872314523775779,-0.7999999999999972,7,70.09
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.89,0.05872314523775781,-0.8099999999999987,7,70.09
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.10863083502701501,0.19999999999999574,8,80.103
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.10863083526034474,0.18999999999999417,8,80.103
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.55824682533399,0.24185261459897398,0.1582468253339897,8,80.103
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.448246825333985,0.24185261459897398,0.1482468253339846,8,80.103
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,24.58533012481525,0.032449532260075284,0.5853301248152505,8,80.103
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,26.475330124815248,0.032449532260075284,0.5753301248152489,8,80.103
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.69412202024214,0.030735222707313763,-0.005877979757858753,8,80.103
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.584122020242138,0.030735222782874834,-0.01587797975786387,8,80.103
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,23.596005631298652,0.028895184457948187,-0.6039943687013469,8,80.103
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,25.48600563129865,0.028895184515354284,-0.613994368701352,8,80.103
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000004,0.05361793732807735,-0.7999999999999972,8,80.103
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.89,0.05361793732807733,-0.8099999999999987,8,80.103
ReTa03,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.10940406683954602,0.19999999999999574,9,90.115
ReTa03,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.10940406707453662,0.18999999999999417,9,90.115
ReTa03,Unknown,Ta4f,Ta interface,7/2,22.4,22.560946018541244,0.2429558865441643,0.1609460185412459,9,90.115
ReTa03,Unknown,Ta4f,Ta interface,5/2,24.3,24.45094601854124,0.2429558865441643,0.1509460185412408,9,90.115
ReTa03,Unknown,Ta4f,Ta alloy,7/2,24.0,24.597109389602846,0.033258776807536465,0.5971093896028457,9,90.115
ReTa03,Unknown,Ta4f,Ta alloy,5/2,25.9,26.487109389602843,0.033258776807536465,0.5871093896028441,9,90.115
ReTa03,Unknown,Ta4f,Ta+1,7/2,22.7,22.694870235385334,0.03128890193192438,-0.005129764614665078,9,90.115
ReTa03,Unknown,Ta4f,Ta+1,5/2,24.6,24.58487023538533,0.03128890192937442,-0.015129764614670194,9,90.115
ReTa03,Unknown,Ta4f,Ta+3,7/2,24.2,23.60087039481423,0.028785749609027866,-0.5991296051857695,9,90.115
ReTa03,Unknown,Ta4f,Ta+3,5/2,26.1,25.490870394814227,0.028785749579817062,-0.6091296051857746,9,90.115
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000004,0.055361711758200406,-0.7999999999999972,9,90.115
ReTa03,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.89,0.05536171175820042,-0.8099999999999987,9,90.115
ReTa04,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.0,0.19999999999999574,0,0.0
ReTa04,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.0,0.18999999999999417,0,0.0
ReTa04,Unknown,Ta4f,Ta interface,7/2,22.4,22.658196941725883,0.0,0.2581969417258847,0,0.0
ReTa04,Unknown,Ta4f,Ta interface,5/2,24.3,24.54819694172588,0.0,0.24819694172587958,0,0.0
ReTa04,Unknown,Ta4f,Ta alloy,7/2,24.0,24.69999999997771,0.0,0.6999999999777096,0,0.0
ReTa04,Unknown,Ta4f,Ta alloy,5/2,25.9,26.589999999977707,0.0,0.689999999977708,0,0.0
ReTa04,Unknown,Ta4f,Ta+1,7/2,22.7,22.899999999999995,0.0,0.19999999999999574,0,0.0
ReTa04,Unknown,Ta4f,Ta+1,5/2,24.6,24.789999999999992,0.0,0.18999999999999062,0,0.0
ReTa04,Unknown,Ta4f,Ta+3,7/2,24.2,23.504,0.0,-0.695999999999998,0,0.0
ReTa04,Unknown,Ta4f,Ta+3,5/2,26.1,25.394,0.0,-0.7060000000000031,0,0.0
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.455908884451308,0.0,-0.344091115548693,0,0.0
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,28.345908884451305,0.0,-0.35409111554869455,0,0.0
ReTa04,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.14016871325566455,0.19999999999999574,1,10.013
ReTa04,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.14016871355673502,0.18999999999999417,1,10.013
ReTa04,Unknown,Ta4f,Ta interface,7/2,22.4,22.505753469605477,0.2634396953686164,0.10575346960547805,1,10.013
ReTa04,Unknown,Ta4f,Ta interface,5/2,24.3,24.395753469605474,0.2634396953686164,0.09575346960547293,1,10.013
ReTa04,Unknown,Ta4f,Ta alloy,7/2,24.0,24.69943571695709,0.032869538335412465,0.6994357169570904,1,10.013
ReTa04,Unknown,Ta4f,Ta alloy,5/2,25.9,26.589435716957087,0.032869538335412465,0.6894357169570888,1,10.013
ReTa04,Unknown,Ta4f,Ta+1,7/2,22.7,22.642594342708588,0.02595808769780693,-0.05740565729141167,1,10.013
ReTa04,Unknown,Ta4f,Ta+1,5/2,24.6,24.532594342708585,0.025958087691793703,-0.06740565729141679,1,10.013
ReTa04,Unknown,Ta4f,Ta+3,7/2,24.2,23.553150396448125,0.02075272384617088,-0.6468496035518747,1,10.013
ReTa04,Unknown,Ta4f,Ta+3,5/2,26.1,25.44315039644812,0.0207527238628875,-0.6568496035518798,1,10.013
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000004,0.04693646356625806,-0.7999999999999972,1,10.013
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.89,0.04693646356625803,-0.8099999999999987,1,10.013
ReTa04,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.13356434517701013,0.19999999999999574,2,20.026
ReTa04,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.13356434546389492,0.18999999999999417,2,20.026
ReTa04,Unknown,Ta4f,Ta interface,7/2,22.4,22.505550653604608,0.26652466049652096,0.10555065360460958,2,20.026
ReTa04,Unknown,Ta4f,Ta interface,5/2,24.3,24.395550653604605,0.26652466049652096,0.09555065360460446,2,20.026
ReTa04,Unknown,Ta4f,Ta alloy,7/2,24.0,24.699999999994123,0.032490139779428835,0.6999999999941231,2,20.026
ReTa04,Unknown,Ta4f,Ta alloy,5/2,25.9,26.58999999999412,0.032490139779428835,0.6899999999941215,2,20.026
ReTa04,Unknown,Ta4f,Ta+1,7/2,22.7,22.634313267784776,0.026074613386166647,-0.06568673221522303,2,20.026
ReTa04,Unknown,Ta4f,Ta+1,5/2,24.6,24.524313267784773,0.02607461333773835,-0.07568673221522815,2,20.026
ReTa04,Unknown,Ta4f,Ta+3,7/2,24.2,23.549411119561327,0.02004402156561479,-0.6505888804386721,2,20.026
ReTa04,Unknown,Ta4f,Ta+3,5/2,26.1,25.439411119561324,0.0200440216150442,-0.6605888804386773,2,20.026
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000004,0.0444787587240379,-0.7999999999999972,2,20.026
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.89,0.04447875872403791,-0.8099999999999987,2,20.026
ReTa04,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999996,0.12847673283461367,0.19999999999999574,3,30.039
ReTa04,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999993,0.12847673311057084,0.18999999999999417,3,30.039
ReTa04,Unknown,Ta4f,Ta interface,7/2,22.4,22.50601583577776,0.2674635930093492,0.10601583577776097,3,30.039
ReTa04,Unknown,Ta4f,Ta interface,5/2,24.3,24.396015835777757,0.2674635930093492,0.09601583577775585,3,30.039
ReTa04,Unknown,Ta4f,Ta alloy,7/2,24.0,24.699999999999854,0.03182210725024394,0.6999999999998536,3,30.039
ReTa04,Unknown,Ta4f,Ta alloy,5/2,25.9,26.58999999999985,0.03182210725024394,0.6899999999998521,3,30.039
ReTa04,Unknown,Ta4f,Ta+1,7/2,22.7,22.631853966514615,0.02620110858454188,-0.06814603348538384,3,30.039
ReTa04,Unknown,Ta4f,Ta+1,5/2,24.6,24.521853966514612,0.026201108551649154,-0.07814603348538895,3,30.039
ReTa04,Unknown,Ta4f,Ta+3,7/2,24.2,23.54665356164584,0.019887077371855875,-0.6533464383541592,3,30.039
ReTa04,Unknown,Ta4f,Ta+3,5/2,26.1,25.436653561645837,0.019887077327510407,-0.6633464383541643,3,30.039
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000025,0.044440323065343366,-0.7999999999999758,3,30.039
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.890000000000022,0.044440323065343346,-0.8099999999999774,3,30.039
ReTa04,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999953,0.1256843466295109,0.1999999999999531,4,40.051
ReTa04,Unknown,Ta4f,Ta metal,5/2,23.9,24.08999999999995,0.12568434689947036,0.18999999999995154,4,40.051
ReTa04,Unknown,Ta4f,Ta interface,7/2,22.4,22.51279160064439,0.26667048245402225,0.11279160064439253,4,40.051
ReTa04,Unknown,Ta4f,Ta interface,5/2,24.3,24.402791600644388,0.26667048245402225,0.10279160064438742,4,40.051
ReTa04,Unknown,Ta4f,Ta alloy,7/2,24.0,24.699999999999356,0.03370944277639001,0.6999999999993562,4,40.051
ReTa04,Unknown,Ta4f,Ta alloy,5/2,25.9,26.589999999999353,0.03370944277639001,0.6899999999993547,4,40.051
ReTa04,Unknown,Ta4f,Ta+1,7/2,22.7,22.633574542780504,0.02771891557711024,-0.06642545721949489,4,40.051
ReTa04,Unknown,Ta4f,Ta+1,5/2,24.6,24.5235745427805,0.027718915507301316,-0.0764254572195,4,40.051
ReTa04,Unknown,Ta4f,Ta+3,7/2,24.2,23.555069366009423,0.020664964023159198,-0.644930633990576,4,40.051
ReTa04,Unknown,Ta4f,Ta+3,5/2,26.1,25.44506936600942,0.020664963989247,-0.6549306339905812,4,40.051
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000005027,0.04609803421828311,-0.7999999999949736,4,40.051
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.890000000005024,0.04609803421827419,-0.8099999999949752,4,40.051
ReTa04,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999964,0.13013822971609934,0.19999999999996376,5,50.063
ReTa04,Unknown,Ta4f,Ta metal,5/2,23.9,24.08999999999996,0.13013822999562544,0.1899999999999622,5,50.063
ReTa04,Unknown,Ta4f,Ta interface,7/2,22.4,22.5129167377981,0.27026092053189676,0.11291673779810196,5,50.063
ReTa04,Unknown,Ta4f,Ta interface,5/2,24.3,24.402916737798098,0.27026092053189676,0.10291673779809685,5,50.063
ReTa04,Unknown,Ta4f,Ta alloy,7/2,24.0,24.699999999995853,0.03295623648225549,0.6999999999958533,5,50.063
ReTa04,Unknown,Ta4f,Ta alloy,5/2,25.9,26.58999999999585,0.03295623648225549,0.6899999999958517,5,50.063
ReTa04,Unknown,Ta4f,Ta+1,7/2,22.7,22.63177511488218,0.027923225919926766,-0.06822488511781799,5,50.063
ReTa04,Unknown,Ta4f,Ta+1,5/2,24.6,24.52177511488218,0.027923225951857856,-0.0782248851178231,5,50.063
ReTa04,Unknown,Ta4f,Ta+3,7/2,24.2,23.546520210584116,0.020563619628678836,-0.6534797894158828,5,50.063
ReTa04,Unknown,Ta4f,Ta+3,5/2,26.1,25.436520210584113,0.020563619648389805,-0.6634797894158879,5,50.063
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.00000000000124,0.04526388588082197,-0.7999999999987608,5,50.063
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.890000000001237,0.04526388588081981,-0.8099999999987624,5,50.063
ReTa04,Unknown,Ta4f,Ta metal,7/2,22.0,22.19999999999908,0.11841973240099606,0.19999999999907914,6,60.076
ReTa04,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999076,0.11841973265535652,0.18999999999907757,6,60.076
ReTa04,Unknown,Ta4f,Ta interface,7/2,22.4,22.51610443850093,0.2562388864384451,0.11610443850092977,6,60.076
ReTa04,Unknown,Ta4f,Ta interface,5/2,24.3,24.406104438500925,0.2562388864384451,0.10610443850092466,6,60.076
ReTa04,Unknown,Ta4f,Ta alloy,7/2,24.0,24.699999999326014,0.03300470178925302,0.699999999326014,6,60.076
ReTa04,Unknown,Ta4f,Ta alloy,5/2,25.9,26.58999999932601,0.03300470178925302,0.6899999993260124,6,60.076
ReTa04,Unknown,Ta4f,Ta+1,7/2,22.7,22.635753775834722,0.02724144692498278,-0.06424622416527725,6,60.076
ReTa04,Unknown,Ta4f,Ta+1,5/2,24.6,24.52575377583472,0.027241446894855553,-0.07424622416528237,6,60.076
ReTa04,Unknown,Ta4f,Ta+3,7/2,24.2,23.550924977899896,0.019607078666787174,-0.6490750221001029,6,60.076
ReTa04,Unknown,Ta4f,Ta+3,5/2,26.1,25.440924977899893,0.01960707869884268,-0.659075022100108,6,60.076
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000050637,0.04530834063985122,-0.7999999999493639,6,60.076
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.890000000050634,0.045308340639762974,-0.8099999999493654,6,60.076
ReTa04,Unknown,Ta4f,Ta metal,7/2,22.0,22.199999999999065,0.13346284857871193,0.19999999999906493,7,70.089
ReTa04,Unknown,Ta4f,Ta metal,5/2,23.9,24.089999999999062,0.1334628488653844,0.18999999999906336,7,70.089
ReTa04,Unknown,Ta4f,Ta interface,7/2,22.4,22.50638523960823,0.27403447257141955,0.10638523960822965,7,70.089
ReTa04,Unknown,Ta4f,Ta interface,5/2,24.3,24.396385239608225,0.27403447257141955,0.09638523960822454,7,70.089
ReTa04,Unknown,Ta4f,Ta alloy,7/2,24.0,24.699999999923534,0.033178081046067766,0.6999999999235342,7,70.089
ReTa04,Unknown,Ta4f,Ta alloy,5/2,25.9,26.58999999992353,0.033178081046067766,0.6899999999235327,7,70.089
ReTa04,Unknown,Ta4f,Ta+1,7/2,22.7,22.635491216039117,0.02673903935843674,-0.064508783960882,7,70.089
ReTa04,Unknown,Ta4f,Ta+1,5/2,24.6,24.525491216039114,0.026739039400852527,-0.07450878396088711,7,70.089
ReTa04,Unknown,Ta4f,Ta+3,7/2,24.2,23.551211079451576,0.020719243333671502,-0.648788920548423,7,70.089
ReTa04,Unknown,Ta4f,Ta+3,5/2,26.1,25.441211079451573,0.020719243368198744,-0.6587889205484281,7,70.089
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),7/2,26.8,26.000000000000867,0.04534364412688676,-0.7999999999991338,7,70.089
ReTa04,Unknown,Ta4f,Ta+5 (Ta2O5),5/2,28.7,27.890000000000864,0.04534364412688521,-0.8099999999991354,7,70.089
